Time,Error_X,Error_Y,Theta
10.404244422912598,35,-27,2.8695417440451054
10.849567890167236,36,-28,2.908661520529368
13.038203001022339,8,-5,0.33927204926982524
13.14432668685913,6,-3,0.32069894375072755
13.26474928855896,-11,6,0.49883368530884215
13.377100229263306,-13,9,0.5233132074317194
13.493161678314209,1,2,0.5328986969971112
13.594703435897827,0,2,0.538319637487076
13.703123569488525,-2,2,0.534756558155472
13.812893152236938,-2,2,0.5484859084271222
13.92423963546753,-2,2,0.5519883897867666
14.024346590042114,-2,2,0.552324652785133
14.134971857070923,-2,2,0.5523872440983404
14.239244937896729,-2,2,0.5537106335609281
14.347877502441406,-2,2,0.5543646823270334
14.448559999465942,-2,2,0.5531743898535859
14.55480170249939,-2,1,0.5516489566884177
14.656552791595459,-2,1,0.553598162219292
14.761011600494385,-2,1,0.5552210107432425
14.871383905410767,-2,1,0.5563740906178543
14.971673727035522,-3,1,0.5554216708567163
15.073970317840576,-3,1,0.556350238783118
15.178071737289429,-2,1,0.554868157549273
15.278353691101074,-3,1,0.5511376764690039
15.388304710388184,-3,1,0.5539519379694826
15.495850324630737,-3,1,0.5535842242123329
15.604830741882324,-3,1,0.5525361638879877
15.712422370910645,-3,1,0.5508403459758521
15.82385540008545,-3,1,0.5549356108827188
15.931337118148804,-2,1,0.5518405104985139
16.04269766807556,-3,1,0.551565309686945
16.14452576637268,-2,1,0.5529735136473563
16.25293803215027,-2,1,0.5507701722991007
16.35804295539856,-2,1,0.5539469350713253
16.46784019470215,-2,1,0.5543324772974445
16.570882320404053,-2,1,0.5530352377499581
16.672427654266357,-2,1,0.5549239751259363
16.78166365623474,-2,1,0.5578460147610997
16.889208793640137,-2,1,0.5539387425479666
16.995115280151367,-2,1,0.5531507181751804
17.104438543319702,-2,1,0.5523609995717278
17.20867943763733,-2,1,0.5547934693408557
17.314672470092773,-2,1,0.5552479214568632
17.415701389312744,-2,1,0.5532694007408703
17.52588677406311,-2,1,0.5522982849959526
17.627732753753662,-2,1,0.5533132072215405
17.72903823852539,-2,1,0.5524722441073152
17.838850021362305,-2,1,0.5531512847407712
17.947041749954224,-2,1,0.551201465166631
18.05554747581482,-2,1,0.5530856905422141
18.163083791732788,-2,1,0.5519611729246013
18.26463532447815,-2,1,0.5545333627158012
18.373422861099243,-2,1,0.5540023610170103
