Time,Error_X,Error_Y,Theta
5.8279218673706055,10,-3,0.587638539147955
5.93376350402832,9,-2,0.5976696798081356
6.034224033355713,0,2,0.6684548411381571
6.134509086608887,4,-2,0.7080462981895548
6.245567083358765,0,0,0.7764923989204513
6.348982810974121,-6,8,0.8448348588618105
6.45989727973938,2,-1,0.9401978601839942
6.56598424911499,0,3,1.0099655328771169
6.676973581314087,-7,5,1.0394156990125238
6.779064893722534,-4,1,1.0652645458194698
6.881991386413574,-1,0,1.116067927349038
6.984150648117065,-2,1,1.0949661857622228
7.084826469421387,-3,1,1.0932918341221436
7.1855175495147705,-2,2,1.1612972350342492
7.287165641784668,-1,1,1.175807008075336
7.389127254486084,-2,1,1.187389335433195
7.4892494678497314,-2,2,1.1510790533814
7.600114345550537,-1,1,1.154359322901605
7.702332019805908,-1,2,1.1293911639136607
7.807217836380005,0,2,1.155244561949218
7.909913063049316,-1,1,1.1723425112360262
8.010005235671997,-4,3,1.18191737670633
8.110695362091064,-2,2,1.1586328021739434
8.222758769989014,-1,2,1.1456445437109106
8.326478242874146,-1,2,1.1942925626103036
8.426567077636719,0,1,1.2344198420325583
8.52791166305542,-1,3,1.2858210699657544
8.635828018188477,-2,3,1.3187598748620801
8.745831489562988,-2,4,1.283659466933311
8.852341890335083,-2,0,1.2926707953814502
8.956914901733398,-2,2,1.2427654669421793
9.063767671585083,-1,3,1.3141490290745563
9.166580438613892,-1,2,1.334359171981959
9.26819896697998,0,0,1.3662835752105391
9.37661337852478,-1,3,1.4552259469811204
9.482643365859985,-1,5,1.5035472901163944
9.587614297866821,-2,3,1.4751588986874489
9.689077854156494,-3,3,1.438545183851484
9.79258680343628,-2,3,1.4949701983127506
9.896257877349854,-2,5,1.5052518480264168
10.001024961471558,-2,6,1.4082835677642955
10.137128114700317,-2,-6,1.4792956480779564
10.242012739181519,-2,-1,1.500516988700645
10.346383810043335,-2,0,1.527073686506723
10.448181867599487,-3,0,1.4233021812849833
10.557443380355835,-2,0,1.3666894595569081
10.662763595581055,-1,0,1.3131027524557577
10.765228033065796,-1,1,1.3686149386358777
10.87385082244873,0,0,1.3868349537343512
10.979438781738281,0,2,1.41724357335695
11.083362817764282,-1,4,1.5067240190602231
11.1943199634552,-1,2,1.4908753637685739
11.299890518188477,-1,0,1.4578271097816486
11.405767440795898,-2,3,1.4163678663526236
11.508885860443115,0,1,1.4587291823131
11.610066652297974,0,0,1.48453952033425
11.7173330783844,0,2,1.5360854384124818
11.828004598617554,0,2,1.597576090602759
11.93813157081604,0,0,1.6783515362427561
12.048537969589233,1,2,1.72133203217533
12.159301280975342,2,-1,1.7690965910031482
12.26580548286438,3,0,1.8572195686002377
12.368195533752441,3,0,1.912016764513257
12.471737623214722,2,0,1.996206230895823
12.575974702835083,3,-1,2.0605475546120093
12.68621563911438,3,-2,2.065033881697127
12.788729906082153,1,-1,2.069422103841837
12.898983478546143,2,-3,2.011674112918848
13.005290508270264,0,-2,1.9764084322319828
13.110182523727417,3,0,1.9080995243615753
13.217870950698853,1,-1,1.9097076891619233
13.321335554122925,2,0,1.9540249567565928
13.422476530075073,3,0,1.9761191697865548
13.532162189483643,2,0,1.9760923603882286
13.641345024108887,2,0,1.9545196498899455
13.752949476242065,3,-1,1.965622394565748
